"","sentiment","sentiment"
"X",-0.00870658836683126,0.161
"X0",-0.0426999167191154,0
"X1",-0.0222649316475482,0
"X2",-0.00923413684727295,0.137
"X3",0.0112429759930088,0.07
"X4",0.0450145789060006,0
"X5",0.086924558222951,0
"X6",0.0214826771567392,0.001
"X7",-0.0206254934244801,0.001
"X8",-0.0441809986650366,0
"X9",0.054909448348661,0
"X10",-0.0114503373854171,0.065
"X11",0.035438377872509,0
"X12",0.0274028654249293,0
"X13",0.0219282503016012,0
"X14",-0.0314243356820015,0
"X15",0.0321213022303957,0
"X16",-0.0366623846745399,0
"X17",0.0316898973494406,0
"X18",-0.027268626647294,0
"X19",0.0238430402684257,0
"X20",-0.0371480210286826,0
"X21",0.0483248263291002,0
"X22",-0.00249558004399363,0.688
"X23",0.017074486922235,0.006
"X24",-0.0284326819226659,0
"X25",-0.00659995276613967,0.288
"X26",-0.0145336009181949,0.019
"X27",0.037261776727615,0
"X28",-0.0316384476528554,0
"X29",0.0169123650824457,0.006
"X30",-0.0467239802743956,0
"X31",0.00870197748959434,0.161
"X32",-0.007853337782782,0.206
"X33",0.0163419941683234,0.009
"X34",0.0124841530233923,0.045
"X35",-0.0481363721752441,0
"X36",0.0484916120444782,0
"X37",0.00529788213811084,0.394
"X38",0.03291285168903,0
"X39",0.0648906468267375,0
"X40",0.0697155746746575,0
"X41",0.0316157576737545,0
"X42",0.0178093019240776,0.004
"X43",0.0164188910927728,0.008
"X44",0.00850981069309563,0.171
"X45",-0.0375441617299022,0
"X46",0.0314350397490774,0
"X47",-0.0311907011887614,0
"X48",0.0165966568338506,0.008
"X49",0.0276360902207537,0
"X50",0.0744905791332486,0
"X51",0.014911242550097,0.016
"X52",0.0406922560137708,0
"X53",-0.0318402970333726,0
"X54",-0.0267344128385624,0
"X55",-0.00457334059292166,0.462
"X56",0.0699446178622716,0
"X57",0.0266173212355833,0
"X58",-0.019115910382242,0.002
"X59",-0.0194173242509391,0.002
"X60",-0.00713072499538922,0.251
"X61",0.0166259085843431,0.007
"X62",-0.0122273871367236,0.049
"X63",0.00676689378569211,0.276
"X64",0.027582743161285,0
"X65",-0.0151555080334435,0.015
"X66",-0.0424564846221552,0
"X67",0.0694539782350218,0
"X68",-0.0149375365557025,0.016
"X69",0.0399850169581132,0
"X70",-0.0232727642802417,0
"X71",-0.0573491425499395,0
"X72",0.064048648249292,0
"X73",-0.00040731528160949,0.948
"X74",0.0278316026795609,0
"X75",-0.0371283723156614,0
"X76",-0.000493974159291327,0.937
"X77",0.0667614629144013,0
"X78",-0.00772965024443017,0.214
"X79",-0.00583208455941999,0.348
"X80",-0.00163398460052595,0.793
"X81",-0.0559609979018214,0
"X82",0.0219506189284715,0
"X83",-0.0156077469159963,0.012
"X84",-0.0314004459254775,0
"X85",0.0106366223234745,0.087
"X86",-0.0556833532248498,0
"X87",0.0089200837688071,0.151
"X88",-0.0580632474654835,0
"X89",-0.0533669447352616,0
"X90",0.00948337490851398,0.127
"X91",-0.0310233496319932,0
"X92",-0.0160408838556634,0.01
"X93",-0.0412745477580606,0
"X94",0.0357002017961164,0
"X95",0.0226480567304685,0
"X96",0.0177180826052055,0.004
"X97",0.00399435514895658,0.52
"X98",-0.0216286073381552,0
"X99",-0.00494123173846775,0.426
"X100",-0.00534355925666047,0.39
"X101",-0.0488056208897267,0
"X102",0.0747516296251351,0
"X103",0.0376409535233949,0
"X104",0.0314974233444965,0
"X105",-0.0437299669436265,0
"X106",0.0704662241236199,0
"X107",-0.00289275667259607,0.642
"X108",-0.0193411301164255,0.002
"X109",0.023105885068616,0
"X110",0.00476249885578587,0.443
"X111",-0.0147782598884723,0.017
"X112",-0.0374352631031881,0
"X113",0.0104030015501234,0.094
"X114",-0.00473790305190284,0.446
"X115",0.0488129422597423,0
"X116",0.0646552433813075,0
"X117",-0.0573590955843627,0
"X118",-0.0253255635681831,0
"X119",0.0478267989812259,0
