"","V161","V161"
"V1",0.024226547009671,0
"V2",0.0229898868064534,0.001
"V3",0.197595691244128,0
"V4",-0.0613203186784899,0
"V5",0.117532331696365,0
"V6",-0.0196682414937845,0.004
"V7",0.107140758105852,0
"V8",0.0216653299241706,0.001
"V9",-0.0737121605175837,0
"V10",-0.169337423838413,0
"V11",-0.140450130578981,0
"V12",-0.020030794969386,0.003
"V13",0.111635376922107,0
"V14",-0.0547225392010586,0
"V15",0.0969395580625758,0
"V16",-0.146084967157992,0
"V17",-0.121820515270072,0
"V18",0.149655379042921,0
"V19",-0.0216282019333219,0.001
"V20",0.00494826685626531,0.463
"V21",-0.126649701548389,0
"V22",-0.0619650087502438,0
"V23",-0.0399655630427325,0
"V24",-0.130010606775469,0
"V25",-0.00266958384419168,0.692
"V26",0.18757171186374,0
"V27",-0.119669458597344,0
"V28",0.118883646026067,0
"V29",0.0353047083900785,0
"V30",-0.0543400937945937,0
"V31",0.0153521803094306,0.023
"V32",-0.168196537591151,0
"V33",-0.169912031439849,0
"V34",-0.100376544053385,0
"V35",-0.0853057595870047,0
"V36",0.169411950827343,0
"V37",0.11543565714162,0
"V38",-0.037340135310285,0
"V39",0.185317383368291,0
"V40",0.429969505758492,0
"V41",-0.0585702095519562,0
"V42",-0.13885218160058,0
"V43",-0.073531254156334,0
"V44",0.278507935779738,0
"V45",-0.0434318720160951,0
"V46",-0.120050729639135,0
"V47",0.256732594986333,0
"V48",-0.0374591616867869,0
"V49",0.00694734267302285,0.303
"V50",0.149635938790778,0
"V51",-0.0179180587193295,0.008
"V52",0.0345252554551905,0
"V53",-0.0551855460241631,0
"V54",0.0602560190751246,0
"V55",0.11088605999147,0
"V56",-0.122184315378943,0
"V57",-0.0818917008080627,0
"V58",-0.198300960465914,0
"V59",-0.252736376537742,0
"V60",-0.237222639783461,0
"V61",-0.243224853766811,0
"V62",0.0857441047519542,0
"V63",-0.0448737569628896,0
"V64",-0.31102623814128,0
"V65",-0.274136480717067,0
"V66",-0.126491812734751,0
"V67",0.0928330758046671,0
"V68",0.0128650385341393,0.056
"V69",-0.0172221121463407,0.011
"V70",0.0903725288724557,0
"V71",-0.134686872706076,0
"V72",0.0912053521649919,0
"V73",0.0954555585918551,0
"V74",-0.049798536525674,0
"V75",-0.113356345116902,0
"V76",0.145723533845618,0
"V77",0.0729632771985185,0
"V78",0.0129082551541442,0.055
"V79",-0.0544231665449209,0
"V80",-0.178493385120341,0
"V81",0.0258529878817791,0
"V82",-0.260389747252802,0
"V83",-0.0933298681960865,0
"V84",0.24936979822593,0
"V85",-0.071344063185943,0
"V86",-0.0532791185466135,0
"V87",-0.00803814678372388,0.233
"V88",-0.0900739150365689,0
"V89",-0.0859039628848152,0
"V90",-0.0619321626736682,0
"V91",0.215007779460432,0
"V92",-0.0902436920341384,0
"V93",-0.12284363984125,0
"V94",-0.066071111598027,0
"V95",-0.0160010800268623,0.018
"V96",0.0250428027267288,0
"V97",0.0466041562093741,0
"V98",-0.161471131774374,0
"V99",-0.149922700577032,0
"V100",0.0544444135119467,0
"V101",0.17043570774873,0
"V102",0.16025992818386,0
"V103",0.0547741028438237,0
"V104",-0.0811485809094749,0
"V105",-0.177282055059785,0
"V106",0.0198586873096172,0.003
"V107",0.164296056964219,0
"V108",-0.0374266769531878,0
"V109",-0.0514529995456198,0
"V110",0.0369357383179899,0
"V111",0.0327634193697392,0
"V112",-0.122878491371346,0
"V113",0.0332549903551463,0
"V114",-0.171470178489375,0
"V115",-0.0480182358141169,0
"V116",0.0464352103006509,0
"V117",-0.0125415462343115,0.063
"V118",-0.0172506221071967,0.01
"V119",0.0681850222127575,0
"V120",0.169102189560627,0
"V121",-0.0190288089623405,0.005
"V122",-0.235590327087982,0
"V123",0.192097857854706,0
"V124",0.0433892877462993,0
"V125",0.14738731951436,0
"V126",-0.12260043795083,0
"V127",0.0404103581798149,0
"V128",-0.0541782121410636,0
"V129",-0.0272645380856855,0
"V130",-0.188212011618328,0
"V131",-0.076665796075704,0
"V132",-0.110073616442816,0
"V133",0.143438906741578,0
"V134",-0.0305600040996976,0
"V135",0.0251931394721556,0
"V136",-0.0770817018418048,0
"V137",-0.160813162348229,0
"V138",-0.097718342512957,0
"V139",-0.179462723789448,0
"V140",-0.03838109215736,0
"V141",-0.157823121485213,0
"V142",-0.0929859961523768,0
"V143",0.0914009651853904,0
"V144",-0.00343149357756432,0.611
"V145",0.0802212122271034,0
"V146",0.0740714257720978,0
"V147",-0.0535620139630169,0
"V148",0.0472607886665057,0
"V149",-0.0723877662396403,0
"V150",-0.00856361174033884,0.204
"V151",-0.262140164900192,0
"V152",-0.0929028149991566,0
"V153",0.180052905273177,0
"V154",-0.100911205188755,0
"V155",0.000595312553997495,0.93
"V156",-0.16945621534198,0
"V157",-0.0508592588335706,0
"V158",-0.0450048702619597,0
"V159",-0.0471938137457874,0
"V160",-0.050958393279209,0
