"","V121","V121"
"V1",-0.137596527178041,0
"V2",0.0687433677759184,0
"V3",-0.0347299669974188,0
"V4",-0.125629701372981,0
"V5",-0.0074736189781422,0.229
"V6",0.0399329533338144,0
"V7",-0.13424114651645,0
"V8",0.461535971842826,0
"V9",0.166814977049814,0
"V10",-0.18108914900607,0
"V11",0.0199216146041649,0.001
"V12",-0.0750119125142519,0
"V13",-0.239909480950694,0
"V14",-0.0711885978033451,0
"V15",-0.113838598444388,0
"V16",0.026183699025385,0
"V17",0.0943157902454434,0
"V18",-0.0567902617035435,0
"V19",0.122694106264868,0
"V20",-0.0239757787302515,0
"V21",-0.0509993977647352,0
"V22",-0.120496135308285,0
"V23",0.0347291904087763,0
"V24",-0.189489643411461,0
"V25",0.246271835346066,0
"V26",0.068329828696305,0
"V27",0.0294270820988305,0
"V28",-0.102741664468066,0
"V29",0.130949232280299,0
"V30",0.017368472520147,0.005
"V31",-0.26952271922558,0
"V32",0.0972107776459869,0
"V33",-0.0190570913664775,0.002
"V34",0.0337824613240569,0
"V35",-0.138019846772588,0
"V36",-0.0826872306962085,0
"V37",0.110008845926183,0
"V38",0.0111649023649071,0.072
"V39",0.171185043929801,0
"V40",-0.0799366887831798,0
"V41",-0.0738812894899575,0
"V42",-0.0770794728534248,0
"V43",-0.0277618509510394,0
"V44",0.151387649743721,0
"V45",-0.0992282423902612,0
"V46",-0.0785831172890255,0
"V47",0.0312235342173973,0
"V48",0.0768902103227991,0
"V49",0.0780625327807262,0
"V50",0.132038594812367,0
"V51",-0.114078249197516,0
"V52",-0.174687166080111,0
"V53",0.0879892939865228,0
"V54",-0.12332954710791,0
"V55",-0.0281741182260643,0
"V56",-0.116443884516535,0
"V57",-0.00658212898121484,0.29
"V58",-0.230003687638246,0
"V59",0.178259935287078,0
"V60",-0.129173061505702,0
"V61",0.0741307657776507,0
"V62",0.424302620709052,0
"V63",-0.0258316455074276,0
"V64",-0.176615075522519,0
"V65",0.0295511336932974,0
"V66",-0.0154657515615369,0.013
"V67",0.0434930720243429,0
"V68",-0.093799403817777,0
"V69",-0.107742580188687,0
"V70",0.0540897140912427,0
"V71",-0.122175783993049,0
"V72",0.112034099066699,0
"V73",-0.0594851030775578,0
"V74",0.0241766000512526,0
"V75",-0.128168178312054,0
"V76",0.00496777001696492,0.424
"V77",-0.218138977612228,0
"V78",-0.027277113324284,0
"V79",-0.171710389264127,0
"V80",0.120558442478215,0
"V81",-0.0414010660252914,0
"V82",0.0226932144498055,0
"V83",-0.0772353533273285,0
"V84",-0.0940381429233688,0
"V85",-0.151038207364388,0
"V86",0.0316186039932074,0
"V87",-0.247785147747522,0
"V88",-0.112534908701883,0
"V89",0.185122919239108,0
"V90",-0.00158604161606639,0.799
"V91",-0.128016518428598,0
"V92",0.125822239081795,0
"V93",0.183439488905303,0
"V94",-0.0938952055935076,0
"V95",-0.253790552740016,0
"V96",0.483247251856116,0
"V97",-0.0601700880250132,0
"V98",0.236465310320971,0
"V99",-0.0755107525405597,0
"V100",0.164307935068403,0
"V101",-0.141565784279209,0
"V102",-0.114490336394015,0
"V103",-0.00887671206689409,0.153
"V104",-0.0569348309950449,0
"V105",0.210977063307354,0
"V106",0.13032715101289,0
"V107",0.100521723931334,0
"V108",-0.0361454629946358,0
"V109",0.0445551188950275,0
"V110",0.163366777163076,0
"V111",0.0859454252284018,0
"V112",0.0932087800178457,0
"V113",-0.193336368330723,0
"V114",-0.0362063745559909,0
"V115",0.00492614936768722,0.428
"V116",-0.0374632213719698,0
"V117",0.0188059380975127,0.002
"V118",-0.328283276354544,0
"V119",-0.0833612983830367,0
"V120",-0.0438829757974439,0
